# freq (s^-1)	real_htilde_+ (strain s)	imag_htilde_+ (strain s)	real_htilde_x (strain s)	imag_htilde_x (strain s)
453.250000	7.313599e-50	3.512229e-50	-3.512229e-50	7.313599e-50
453.375000	7.853642e-50	1.977679e-50	-1.977679e-50	7.853642e-50
453.500000	8.076005e-50	3.692681e-51	-3.692681e-51	8.076005e-50
453.625000	7.972998e-50	-1.248078e-50	1.248078e-50	7.972998e-50
453.750000	7.550037e-50	-2.809343e-50	2.809343e-50	7.550037e-50
453.875000	6.825366e-50	-4.252036e-50	4.252036e-50	6.825366e-50
454.000000	5.829266e-50	-5.518688e-50	5.518688e-50	5.829266e-50
454.125000	4.602793e-50	-6.559135e-50	6.559135e-50	4.602793e-50
454.250000	3.196075e-50	-7.332505e-50	7.332505e-50	3.196075e-50
454.375000	1.666266e-50	-7.808811e-50	7.808811e-50	1.666266e-50
454.500000	7.521763e-52	-7.970108e-50	7.970108e-50	7.521763e-52
454.625000	-1.513019e-50	-7.811160e-50	7.811160e-50	-1.513019e-50
454.750000	-3.034771e-50	-7.339593e-50	7.339593e-50	-3.034771e-50
454.875000	-4.429298e-50	-6.575535e-50	6.575535e-50	-4.429298e-50
455.000000	-5.641210e-50	-5.550749e-50	5.550749e-50	-5.641210e-50
455.125000	-6.622665e-50	-4.307315e-50	4.307315e-50	-6.622665e-50
455.250000	-7.335248e-50	-2.895894e-50	2.895894e-50	-7.335248e-50
455.375000	-7.751476e-50	-1.373666e-50	1.373666e-50	-7.751476e-50
455.500000	-7.855842e-50	1.979943e-51	-1.979943e-51	-7.855842e-50
455.625000	-7.645385e-50	1.755985e-50	-1.755985e-50	-7.645385e-50
455.750000	-7.129757e-50	3.238014e-50	-3.238014e-50	-7.129757e-50
455.875000	-6.330777e-50	4.585089e-50	-4.585089e-50	-6.330777e-50
456.000000	-5.281507e-50	5.743857e-50	-5.743857e-50	-5.281507e-50
456.125000	-4.024879e-50	6.668720e-50	-6.668720e-50	-4.024879e-50
456.250000	-2.611937e-50	7.323615e-50	-7.323615e-50	-2.611937e-50
456.375000	-1.099760e-50	7.683422e-50	-7.683422e-50	-1.099760e-50
456.500000	4.508443e-51	7.734915e-50	-7.734915e-50	4.508443e-51
456.625000	1.977785e-50	7.477236e-50	-7.477236e-50	1.977785e-50
456.750000	3.420174e-50	6.921881e-50	-6.921881e-50	3.420174e-50
456.875000	4.720750e-50	6.092182e-50	-6.092182e-50	4.720750e-50
457.000000	5.828152e-50	5.022325e-50	-5.022325e-50	5.828152e-50
457.125000	6.698938e-50	3.755938e-50	-3.755938e-50	6.698938e-50
457.250000	7.299286e-50	2.344312e-50	-2.344312e-50	7.299286e-50
457.375000	7.606302e-50	8.443155e-51	-8.443155e-51	7.606302e-50
457.500000	7.608883e-50	-6.838925e-51	6.838925e-51	7.608883e-50
457.625000	7.308109e-50	-2.179277e-50	2.179277e-50	7.308109e-50
457.750000	6.717146e-50	-3.582364e-50	3.582364e-50	6.717146e-50
457.875000	5.860669e-50	-4.837602e-50	4.837602e-50	5.860669e-50
458.000000	4.773829e-50	-5.895559e-50	5.895559e-50	4.773829e-50
458.125000	3.500806e-50	-6.714865e-50	6.714865e-50	3.500806e-50
458.250000	2.093011e-50	-7.263823e-50	7.263823e-50	2.093011e-50
458.375000	6.070082e-51	-7.521629e-50	7.521629e-50	6.070082e-51
458.500000	-8.977587e-51	-7.479149e-50	7.479149e-50	-8.977587e-51
458.625000	-2.361345e-50	-7.139240e-50	7.139240e-50	-2.361345e-50
458.750000	-3.725690e-50	-6.516573e-50	6.516573e-50	-3.725690e-50
458.875000	-4.936921e-50	-5.637007e-50	5.637007e-50	-4.936921e-50
459.000000	-5.947473e-50	-4.536508e-50	4.536508e-50	-5.947473e-50
459.125000	-6.717953e-50	-3.259674e-50	3.259674e-50	-6.717953e-50
459.250000	-7.218673e-50	-1.857928e-50	1.857928e-50	-7.218673e-50
459.375000	-7.430783e-50	-3.874460e-51	3.874460e-51	-7.430783e-50
459.500000	-7.346974e-50	1.093100e-50	-1.093100e-50	-7.346974e-50
459.625000	-6.971718e-50	2.524879e-50	-2.524879e-50	-6.971718e-50
459.750000	-6.321040e-50	3.851236e-50	-3.851236e-50	-6.321040e-50
459.875000	-5.421830e-50	5.019935e-50	-5.019935e-50	-5.421830e-50
460.000000	-4.310730e-50	5.985210e-50	-5.985210e-50	-4.310730e-50
460.125000	-3.032636e-50	6.709553e-50	-6.709553e-50	-3.032636e-50
460.250000	-1.638885e-50	7.165166e-50	-7.165166e-50	-1.638885e-50
460.375000	-1.851883e-51	7.335021e-50	-7.335021e-50	-1.851883e-51
460.500000	1.270596e-50	7.213487e-50	-7.213487e-50	1.270596e-50
460.625000	2.670764e-50	6.806505e-50	-6.806505e-50	2.670764e-50
460.750000	3.960051e-50	6.131303e-50	-6.131303e-50	3.960051e-50
460.875000	5.087814e-50	5.215660e-50	-5.215660e-50	5.087814e-50
461.000000	6.010011e-50	4.096768e-50	-4.096768e-50	6.010011e-50
461.125000	6.690923e-50	2.819709e-50	-2.819709e-50	6.690923e-50
461.250000	7.104526e-50	1.435644e-50	-1.435644e-50	7.104526e-50
461.375000	7.235483e-50	-2.412942e-54	2.412942e-54	7.235483e-50
461.500000	7.079700e-50	-1.430938e-50	1.430938e-50	7.079700e-50
461.625000	6.644445e-50	-2.799875e-50	2.799875e-50	6.644445e-50
461.750000	5.948005e-50	-4.053156e-50	4.053156e-50	5.948005e-50
461.875000	5.018919e-50	-5.141677e-50	5.141677e-50	5.018919e-50
462.000000	3.894806e-50	-6.023048e-50	6.023048e-50	3.894806e-50
462.125000	2.620836e-50	-6.663238e-50	6.663238e-50	2.620836e-50
462.250000	1.247916e-50	-7.037883e-50	7.037883e-50	1.247916e-50
462.375000	-1.693492e-51	-7.133208e-50	7.133208e-50	-1.693492e-51
462.500000	-1.574825e-50	-6.946521e-50	6.946521e-50	-1.574825e-50
462.625000	-2.913073e-50	-6.486277e-50	6.486277e-50	-2.913073e-50
462.750000	-4.131534e-50	-5.771692e-50	5.771692e-50	-4.131534e-50
462.875000	-5.182591e-50	-4.831939e-50	4.831939e-50	-5.182591e-50
463.000000	-6.025423e-50	-3.704954e-50	3.704954e-50	-6.025423e-50
463.125000	-6.627591e-50	-2.435902e-50	2.435902e-50	-6.627591e-50
463.250000	-6.966275e-50	-1.075367e-50	1.075367e-50	-6.966275e-50
463.375000	-7.029137e-50	3.226690e-51	-3.226690e-51	-7.029137e-50
463.500000	-6.814756e-50	1.702966e-50	-1.702966e-50	-6.814756e-50
463.625000	-6.332644e-50	3.011210e-50	-3.011210e-50	-6.332644e-50
463.750000	-5.602816e-50	4.196142e-50	-4.196142e-50	-5.602816e-50
463.875000	-4.654965e-50	5.211574e-50	-5.211574e-50	-4.654965e-50
464.000000	-3.527243e-50	6.018175e-50	-6.018175e-50	-3.527243e-50
464.125000	-2.264728e-50	6.584997e-50	-6.584997e-50	-2.264728e-50
464.250000	-9.176201e-51	6.890652e-50	-6.890652e-50	-9.176201e-51
464.375000	4.607593e-51	6.924116e-50	-6.924116e-50	4.607593e-51
464.500000	1.816075e-50	6.685114e-50	-6.685114e-50	1.816075e-50
464.625000	3.095119e-50	6.184088e-50	-6.184088e-50	3.095119e-50
464.750000	4.247901e-50	5.441735e-50	-5.441735e-50	4.247901e-50
